nome,endereço,telefone,aniversário,cpf
Théo Araújo,"Praça de da Conceição, 36, Cidade Jardim Taquaril, 85786-725 Cardoso de Santos / GO",98-97880-6873,22/03/1965,587.043.261-80
Bella Mendonça,"Praia Santos, 32, Vila Novo São Lucas, 48722-929 Nogueira / DF",45-97775-7281,02/03/1968,087.695.134-57
Marina Correia,"Praia Abreu, 13, Jardim Felicidade, 96736-706 Fernandes Paulista / PB",69-92873-9888,30/03/1957,730.561.284-71
Rael Fonseca,"Lagoa Fonseca, 91, Céu Azul, 80326788 Silva de Albuquerque / SC",20-91300-7196,15/02/2003,981.327.654-19
Sr. Arthur Gabriel Fogaça,"Trevo Borges, Carmo, 96822984 da Cruz de Santos / ES",58-99088-1103,17/10/1935,910.638.547-84
Sra. Isabel Silva,"Setor de Pereira, 6, Marilandia, 10678433 Porto de Aragão / MG",56-92239-7205,26/10/2001,735.206.419-25
Gael Albuquerque,"Lagoa de Correia, 28, Vila Santo Antônio, 77549-353 Cassiano / SP",81-95775-9220,25/06/1956,483.729.651-37
Davi Lucas Ferreira,"Loteamento de Barbosa, 97, Vila Califórnia, 23731-496 Araújo de Monteiro / CE",37-91525-8893,06/10/1947,864.352.910-98
Sr. Antony Pacheco,"Praia Miguel Guerra, 4, Acaba Mundo, 30880009 Farias do Norte / CE",85-99618-5477,06/10/1960,204.398.571-04
Maria Flor Farias,"Lago da Rocha, Distrito Industrial Do Jatoba, 12423160 Costa / AC",91-95335-1664,08/04/1935,279.148.360-87
Otávio da Mota,"Avenida de Fernandes, 52, Santa Margarida, 15798-063 Pires / MA",15-93351-7647,21/10/1961,643.109.587-10
Ana Júlia Lopes,"Alameda Cecília Fernandes, 30, Serra Verde, 09405361 Campos de da Cruz / RS",30-92935-4699,31/12/1933,456.731.802-17
Clarice Macedo,"Fazenda Marques, Nova Cachoeirinha, 25956884 Pires / PI",21-93281-4919,12/06/1976,698.457.132-46
Ana Liz Rezende,"Colônia da Luz, 49, Juliana, 25604035 Santos Paulista / RR",62-92525-3123,21/10/1972,493.062.857-10
Maria Eduarda Sá,"Quadra Araújo, 3, Jaqueline, 62483-131 Azevedo de Freitas / RR",13-92577-8501,06/02/1991,097.852.431-41
Dr. Pedro Miguel Farias,"Vereda Pereira, 90, Canadá, 54671-021 Lopes / SP",83-93241-2537,27/02/1958,418.296.370-96
Eloah Cirino,"Sítio da Luz, 77, Betânia, 44654655 Sá de Teixeira / GO",26-93701-7728,15/01/1945,568.421.309-05
Laís Gonçalves,"Favela de da Cruz, 13, Vila Engenho Nogueira, 90885231 Caldeira de Fonseca / CE",24-98030-7235,19/01/1965,394.850.712-05
Ágatha Campos,"Loteamento de da Cruz, Parque São Pedro, 91552-563 Gonçalves Alegre / DF",43-97522-5413,22/08/1954,254.708.369-83
Sara Melo,"Morro de Santos, 30, Dom Bosco, 60234228 Pinto do Galho / SE",74-91521-3986,06/11/1963,054.913.287-23
Ana Vitória Rodrigues,"Favela de Dias, Nazare, 27027381 Rezende / AL",62-91800-4538,04/04/1996,012.385.967-03
Nina Cavalcante,"Praia da Rosa, 38, Pompéia, 20426987 Sá / SP",97-99052-7462,31/03/1977,968.350.724-74
Gael Henrique Albuquerque,"Campo Alves, 87, Vila Nova Dos Milionarios, 24913-762 Montenegro Paulista / RS",20-96687-5890,30/11/1967,496.378.501-39
